,country,year,emissions,total_emissions
1288,Poland,2008,327.5373545311328,327537354.5311328
1289,Romania,2008,102.5852502488926,102585250.2488926
1290,Slovakia,2008,38.03084781949437,38030847.81949437
1291,Slovenia,2008,17.45866317859349,17458663.17859349
1292,Spain,2008,369.1956226189167,369195622.6189167
1293,Sweden,2008,57.69956937289287,57699569.372892864
1294,Turkey,2008,301.35897353749516,301358973.53749514
1295,Ukraine,2008,334.36967076010086,334369670.76010084
1296,United Kingdom,2008,576.2334306792046,576233430.6792046
1297,Azerbaijan,2008,44.31404477763455,44314044.777634546
1298,Belarus,2008,64.54027504186651,64540275.04186651
1299,Kazakhstan,2008,232.88135624715528,232881356.24715528
1300,Russian Federation,2008,2057.0498403056586,2057049840.3056586
1301,Turkmenistan,2008,96.30486176020001,96304861.76020001
1302,Uzbekistan,2008,138.86750448126384,138867504.48126385
1303,"Iran, Islamic Republic of",2008,679.4101815851957,679410181.5851957
1304,Iraq,2008,153.60423360999368,153604233.6099937
1305,Israel,2008,70.84720278697633,70847202.78697632
1306,Kuwait,2008,98.68515791118033,98685157.91118033
1307,Oman,2008,58.856834243425176,58856834.243425176
1308,Qatar,2008,73.7960879844513,73796087.98445131
1309,Saudi Arabia,2008,496.49052930597105,496490529.305971
1310,United Arab Emirates,2008,242.97306880407945,242973068.80407944
1311,Algeria,2008,176.70476248120798,176704762.48120797
1312,Egypt,2008,209.21532552769474,209215325.52769473
1313,Morocco,2008,54.169477365583994,54169477.36558399
1314,South Africa,2008,511.5167168655827,511516716.8655827
1315,Australia,2008,461.4573481982395,461457348.1982395
1316,Bangladesh,2008,51.14130708200754,51141307.08200754
1317,China,2008,8336.956883936193,8336956883.9361925
1318,China,2008,79.71642081046721,79716420.81046721
1319,India,2008,1601.8173903486108,1601817390.3486109
1320,Indonesia,2008,473.0764628310568,473076462.8310568
1321,Japan,2008,1325.8422545238536,1325842254.5238535
1322,Malaysia,2008,231.11396683737178,231113966.83737177
1323,New Zealand,2008,39.76878659022515,39768786.590225145
1324,Pakistan,2008,168.15329702866865,168153297.02866864
1325,Philippines,2008,80.37816454363264,80378164.54363264
1326,South Korea,2008,553.6849039072208,553684903.9072208
1327,Taiwan,2008,270.4617570558451,270461757.05584514
1328,Thailand,2008,265.5376963491225,265537696.3491225
1329,Vietnam,2008,132.9811546766001,132981154.67660011
1330,Canada,2009,580.0339247382815,580033924.7382815
1331,Mexico,2009,515.3761955009633,515376195.5009633
1332,US,2009,5601.837628564145,5601837628.564145
1333,Argentina,2009,186.86733432913428,186867334.3291343
1334,Brazil,2009,398.23388015025165,398233880.1502516
1335,Chile,2009,76.13666583524069,76136665.83524069
1336,Colombia,2009,83.0849085749447,83084908.5749447
1337,Ecuador,2009,37.72675833406032,37726758.33406032
1338,Peru,2009,40.2679928325542,40267992.8325542
1339,Trinidad and Tobago,2009,31.960924380763434,31960924.380763434
1340,Venezuela,2009,328.4299690484427,328429969.04844266
1341,Austria,2009,65.54776188156843,65547761.88156843
1342,Belgium,2009,127.42038538126533,127420385.38126533
1343,Bulgaria,2009,55.30732064238366,55307320.64238366
1344,Croatia,2009,22.20513949775116,22205139.497751158
1345,Czech Republic,2009,115.12410450419856,115124104.50419855
1346,Denmark,2009,53.39527380001251,53395273.800012514
1347,Estonia,2009,18.886710394831535,18886710.394831534
1348,France,2009,364.17286358440515,364172863.5844051
1349,Germany,2009,771.3988513522395,771398851.3522395
1350,Greece,2009,107.26390677784413,107263906.77784413
1351,Hungary,2009,49.480696699856125,49480696.699856125
1352,Ireland,2009,44.17353884368251,44173538.843682505
1353,Italy,2009,409.8863739440953,409886373.94409525
1354,Lithuania,2009,12.318400111292775,12318400.111292774
1355,Netherlands,2009,218.39361473025428,218393614.7302543
1356,North Macedonia,2009,12.034922206478573,12034922.206478573
1357,Norway,2009,38.7333858942972,38733385.8942972
1358,Poland,2009,312.3560666574417,312356066.65744174
1359,Romania,2009,86.33916597523641,86339165.97523642
1360,Slovakia,2009,34.847406691611795,34847406.6916118
1361,Slovenia,2009,15.433777216648856,15433777.216648856
1362,Spain,2009,327.6784693935367,327678469.3935367
1363,Sweden,2009,54.716162850972275,54716162.85097227
1364,Turkey,2009,302.4659144927215,302465914.4927215
1365,Ukraine,2009,284.53084927991966,284530849.2799197
1366,United Kingdom,2009,526.2351234337164,526235123.43371636
1367,Azerbaijan,2009,39.166073713124696,39166073.71312469
1368,Belarus,2009,62.603260137287414,62603260.137287416
1369,Kazakhstan,2009,216.05078355455385,216050783.55455384
1370,Russian Federation,2009,1925.5155768734685,1925515576.8734684
1371,Turkmenistan,2009,93.64413960040002,93644139.60040003
1372,Uzbekistan,2009,134.06015994566712,134060159.94566712
1373,"Iran, Islamic Republic of",2009,688.9510638922371,688951063.8922372
1374,Iraq,2009,157.3499313491434,157349931.3491434
1375,Israel,2009,68.1418926962239,68141892.6962239
1376,Kuwait,2009,97.41767551897149,97417675.51897149
1377,Oman,2009,58.82143304845342,58821433.04845342
1378,Qatar,2009,76.50007711336615,76500077.11336614
1379,Saudi Arabia,2009,506.9343895159648,506934389.5159648
1380,United Arab Emirates,2009,233.9157340806306,233915734.0806306
1381,Algeria,2009,179.72407259693455,179724072.59693456
1382,Egypt,2009,221.11321888357227,221113218.88357228
1383,Morocco,2009,50.82948474184236,50829484.74184236
1384,South Africa,2009,509.9988776210829,509998877.6210829
1385,Australia,2009,453.7835137772981,453783513.7772981
1386,Bangladesh,2009,56.75318145939698,56753181.45939698
1387,China,2009,8754.93585820242,8754935858.20242
1388,China,2009,86.90234144904429,86902341.44904429
1389,India,2009,1750.8533734990729,1750853373.4990728
1390,Indonesia,2009,494.59980996644003,494599809.96644
1391,Japan,2009,1153.451159496859,1153451159.496859
1392,Malaysia,2009,221.65869234115863,221658692.34115863
1393,New Zealand,2009,36.76753273571462,36767532.735714614
1394,Pakistan,2009,169.9463541362366,169946354.1362366
1395,Philippines,2009,81.4977237754354,81497723.7754354
1396,South Korea,2009,556.4859939223933,556485993.9223933
1397,Taiwan,2009,256.2660248073795,256266024.80737948
1398,Thailand,2009,264.4727099755663,264472709.97556633
1399,Vietnam,2009,136.17828439714705,136178284.39714706
1400,Canada,2010,596.705399088952,596705399.0889521
1401,Mexico,2010,515.2570021359238,515257002.1359238
1402,US,2010,5815.423583338968,5815423583.338967
1403,Argentina,2010,195.703615098297,195703615.098297
1404,Brazil,2010,448.89008666258223,448890086.6625822
1405,Chile,2010,77.65592861102346,77655928.61102346
1406,Colombia,2010,90.13992315638856,90139923.15638857
1407,Ecuador,2010,41.997345226377874,41997345.226377875
1408,Peru,2010,46.48505308627682,46485053.08627682
1409,Trinidad and Tobago,2010,34.44022370790286,34440223.707902856
1410,Venezuela,2010,325.58977220513856,325589772.20513856
1411,Austria,2010,69.62454521901005,69624545.21901004
1412,Belgium,2010,136.07643234747002,136076432.34747002
1413,Bulgaria,2010,57.974825688109185,57974825.68810918
1414,Croatia,2010,21.365667493848065,21365667.493848063
1415,Czech Republic,2010,118.01951724375476,118019517.24375476
1416,Denmark,2010,53.95155339053824,53951553.39053824
1417,Estonia,2010,23.79537314439032,23795373.144390322
1418,France,2010,370.1461608681824,370146160.8681824
1419,Germany,2010,800.6772602412282,800677260.2412282
1420,Greece,2010,98.81646210733888,98816462.10733888
1421,Hungary,2010,49.716749843117874,49716749.84311788
1422,Ireland,2010,43.654241504287846,43654241.50428785
1423,Italy,2010,415.74013954658517,415740139.54658514
1424,Lithuania,2010,13.453335465811142,13453335.46581114
1425,Netherlands,2010,227.21040137019733,227210401.37019733
1426,North Macedonia,2010,11.47880021931253,11478800.21931253
1427,Norway,2010,40.12009898536874,40120098.98536874
1428,Poland,2010,331.39431030054914,331394310.30054915
1429,Romania,2010,83.51620129682354,83516201.29682353
1430,Slovakia,2010,37.01371078711247,37013710.787112474
1431,Slovenia,2010,15.637384627386242,15637384.627386242
1432,Spain,2010,311.35952856737276,311359528.56737274
1433,Sweden,2010,58.33023921331141,58330239.21331141
1434,Turkey,2010,306.4265993119707,306426599.31197065
1435,Ukraine,2010,302.3556238826557,302355623.88265574
1436,United Kingdom,2010,541.8694503179155,541869450.3179154
1437,Azerbaijan,2010,37.629648575563735,37629648.575563736
1438,Belarus,2010,65.89596784458858,65895967.844588585
1439,Kazakhstan,2010,227.209228343432,227209228.34343198
1440,Russian Federation,2010,1990.8742905113672,1990874290.5113673
1441,Turkmenistan,2010,102.15696769070901,102156967.69070901
1442,Uzbekistan,2010,134.8533834665656,134853383.46656558
1443,"Iran, Islamic Republic of",2010,706.9182276985174,706918227.6985174
1444,Iraq,2010,170.45532356446648,170455323.56446648
1445,Israel,2010,70.27522637297277,70275226.37297277
1446,Kuwait,2010,106.7915828690555,106791582.86905551
1447,Oman,2010,66.6301779617604,66630177.961760394
1448,Qatar,2010,81.80933459671702,81809334.59671701
1449,Saudi Arabia,2010,555.1330742443674,555133074.2443675
1450,United Arab Emirates,2010,243.89866324205028,243898663.2420503
1451,Algeria,2010,177.6197567182579,177619756.7182579
1452,Egypt,2010,228.84018444946102,228840184.449461
1453,Morocco,2010,54.51437412352974,54514374.12352974
1454,South Africa,2010,510.62326135681565,510623261.35681564
1455,Australia,2010,450.9863317940619,450986331.7940619
1456,Bangladesh,2010,58.67972512624202,58679725.12624202
1457,China,2010,9294.356204797696,9294356204.797695
1458,China,2010,88.87878870108827,88878788.70108826
1459,India,2010,1813.1131463987872,1813113146.3987873
1460,Indonesia,2010,543.9070447103693,543907044.7103693
1461,Japan,2010,1224.486537144895,1224486537.144895
1462,Malaysia,2010,233.582247985976,233582247.985976
1463,New Zealand,2010,36.72539792964536,36725397.92964536
1464,Pakistan,2010,169.49115705341922,169491157.0534192
1465,Philippines,2010,87.43171306144887,87431713.06144887
1466,South Korea,2010,613.1821933489106,613182193.3489106
1467,Taiwan,2010,276.1285916548222,276128591.6548222
1468,Thailand,2010,278.24529280611046,278245292.80611044
1469,Vietnam,2010,160.42565181847502,160425651.818475
1470,Canada,2011,602.9104811947217,602910481.1947217
